district,min_similarity,max_similarity,similarity_range,most_similar
AR-03,0.032060967841351005,0.09081080680155137,0.05874983896020037,OK-03,TN-07,IL-17,TX-04,MI-02,OK-04,KS-01,MS-04,IL-12,VA-06,LA-01,NC-05,MI-05,TN-04,IN-03,FL-02,SC-03,TN-08,OH-09,NC-10,KY-06,PA-15
AR-04,0.046872358736261464,0.13147056066653492,0.08459820193027345,AR-01,GA-14,OK-02,SC-03,LA-03,GA-09,PA-16,AL-03,MS-01,IN-02,OH-13,IL-17,AL-04,SC-07,TX-04,PA-17,SC-05,TN-04,OH-09,OK-03,FL-02,TN-03
CA-01,0.05657359693862582,0.09877768012099826,0.04220408318237244,WA-06,OH-10,OR-05,WA-03,OR-02,OR-04,FL-01,AL-06,CO-03,NY-20,FL-08,NY-24,MI-09,MI-06,RI-02,MA-02,MI-03,AL-05,FL-12,NY-25,WI-01,KS-04
CA-02,0.04457222153974516,0.12275245856712805,0.07818023702738289,AZ-06,CA-04,SC-01,FL-04,OR-01,AZ-05,AZ-08,OR-03,WA-02,KS-03,WA-06,MA-08,CO-05,MI-11,WA-01,MN-04,MA-05,CO-04,VA-07,WA-08,TX-21,NY-20
CA-03,0.05098069771647982,0.10944331312125721,0.058462615404777395,AZ-01,TX-06,MD-02,VA-04,FL-14,VA-03,TX-14,CA-23,CA-42,IL-08,NV-04,IL-11,TX-17,CA-25,CA-22,CA-50,NJ-06,OK-05,CA-26,CA-24,NM-01,FL-10
CA-04,0.05457791262149186,0.11822486624365384,0.063646953622162,CA-02,AZ-06,FL-04,WA-06,MI-11,MA-06,OR-01,MA-08,MI-08,IN-05,IL-14,SC-01,WA-01,AZ-05,NY-20,WA-02,AZ-08,MN-02,NJ-04,OR-03,KS-03,WA-08
CA-05,0.06886797612048533,0.10989295216352189,0.041024976043036565,NJ-12,CA-07,NV-03,TX-10,CA-24,GA-07,TX-06,IL-11,CA-50,CA-26,TX-02,WA-09,FL-23,TX-32,CA-11,CA-28,IL-10,IL-08,MD-06,CA-25,TX-31,CA-30
CA-06,0.04939914287652766,0.1329874123788617,0.08358826950233403,FL-10,MO-01,IL-01,VA-03,CA-22,WI-04,CA-47,NM-03,MD-07,MI-14,OH-11,FL-14,NM-01,CA-20,GA-13,CA-09,GA-05,NC-12,IL-02,CA-31,CA-42,GA-04
CA-07,0.049491839762879554,0.10465474628973243,0.05516290652685287,NV-03,CA-28,IL-10,TX-31,CA-24,TX-10,CA-05,TX-32,CO-01,TX-02,FL-07,TX-24,MD-03,MD-06,CA-30,WA-09,GA-07,CO-06,CA-11,VA-02,IL-11,CA-50
CA-08,0.042661539015756166,0.1121508531299593,0.06948931411420314,NV-04,CA-23,FL-09,CA-10,NC-01,FL-05,VA-04,TX-27,TX-14,TX-19,TX-05,WA-04,CA-22,CA-36,AZ-01,NM-02,IN-07,OH-03,TX-11,GA-12,CA-03,WI-04
CA-09,0.0415831120598209,0.12330262333769361,0.08171951127787272,CA-20,CA-22,NM-02,TX-27,FL-10,CA-31,CA-10,NM-03,FL-05,IL-02,GA-13,FL-09,NC-01,CA-36,CA-06,OH-11,IL-01,VA-03,NV-04,CA-08,CA-23,LA-02
