district,min_similarity,max_similarity,similarity_range,most_similar
AZ-06,0.08998283169582966,0.21746119194007932,0.12747836024424966,GA-07,TX-31,TX-10,MO-02,TX-22,IN-05,TX-06,TX-24,TX-25,CA-42,CA-04,TX-02,OK-05,GA-06,CA-50,VA-01,FL-03,MI-02,WA-05,NC-06,IL-14,NJ-04,TX-14,OH-02,CA-22
AZ-07,0.21180688728178781,0.453669235236422,0.24186234795463418,TX-29,GA-13,MA-05,AL-07,NY-16,OR-03,CA-17,CA-28,TX-33,CA-05,NY-10,WI-04,CA-20,GA-04,NJ-08,CA-35,TX-09,TX-30,NY-14,SC-06,CA-29,HI-02,CA-14,MO-01,TX-18
AZ-08,0.180582488076779,0.5372818254882628,0.35669933741148374,TX-05,TX-03,FL-04,GA-10,OK-01,AL-01,GA-08,GA-03,CA-23,MS-03,FL-25,TX-17,TX-26,SC-04,OH-08,SC-05,VA-06,GA-11,IL-18,SC-01,CA-08,SC-02,OR-02,CA-50,MD-01
AZ-09,0.14933760410559693,0.282251288748165,0.1329136846425681,CA-36,CA-03,CA-26,FL-22,WA-01,CA-52,CT-04,CO-07,IL-08,WA-10,MD-06,FL-09,TX-15,CA-09,WA-06,CA-24,IL-11,CO-02,NM-01,OR-05,CT-05,MO-05,KY-03,CA-16,TN-05
CA-01,0.08959720977798358,0.194893945519095,0.10529673574111142,NC-05,MT-00,TX-14,KY-06,CA-04,NC-06,TX-06,IN-02,TX-25,NC-10,SC-07,OK-05,WA-05,NC-07,NC-08,CA-42,TX-27,IN-09,KS-02,VA-01,FL-06,WI-06,IA-04,FL-03,FL-17
CA-02,0.0867989631274475,0.32865386046720946,0.24185489733976195,CA-06,WA-09,CA-51,CA-11,CO-01,CA-18,MN-05,NC-01,TX-18,MD-07,IL-05,CA-14,HI-02,WI-02,CA-05,IL-01,VA-08,NC-04,NC-12,CA-28,NJ-08,NJ-09,TN-09,OR-03,OH-03
CA-03,0.10181051026293896,0.2372534088269335,0.13544289856399455,WA-10,CO-07,WA-01,MD-06,FL-22,CA-09,FL-09,CA-36,CA-26,AZ-09,MO-05,IL-08,TX-15,CA-24,CA-52,CT-04,CA-16,IL-11,CT-05,CO-02,GA-02,WA-06,CA-07,IL-17,OR-05
CA-04,0.11506645905736386,0.1962543502702551,0.08118789121289123,TX-25,TX-06,OK-05,CA-01,NC-06,AZ-06,KS-02,WA-05,TX-14,KY-06,NC-05,VA-01,TX-31,CA-42,MO-02,TX-10,SC-07,IN-05,MI-02,NC-10,FL-08,OH-02,GA-07,AR-02,WI-06
CA-05,0.09628442241608975,0.3715586360185967,0.2752742136025069,CA-28,TX-33,CA-20,OR-03,GA-04,CA-15,SC-06,WI-04,CA-06,CA-19,CA-02,WA-09,HI-02,TX-16,CA-30,MD-07,NC-01,CA-51,TX-18,NC-12,CA-14,MN-05,NJ-08,CO-01,CA-11
CA-06,0.0867989631274475,0.3085828251863672,0.2217838620589197,CA-02,WA-09,CA-51,CA-11,CO-01,CA-18,NC-01,MN-05,IL-05,NC-12,WI-02,NC-04,CA-05,MD-07,NJ-09,TX-18,VA-08,OH-03,TX-33,CA-28,CA-20,HI-02,IL-01,CA-15,CA-14
CA-07,0.18732410416174436,0.2873380239369653,0.10001391977522092,TX-23,CA-24,NV-04,WA-01,CO-06,NH-02,CA-10,CA-52,CT-05,OR-05,CA-03,AZ-02,AZ-01,FL-26,MD-06,CO-07,NH-01,VA-10,FL-09,WA-10,CA-09,NE-02,CA-36,AZ-09,NJ-05
CA-08,0.22877351245281863,0.3935787603834841,0.16480524793066548,TX-17,TX-21,VA-06,SC-01,CO-05,SC-02,GA-01,MS-03,TX-32,FL-15,CA-23,FL-12,SC-04,FL-03,AZ-06,MI-02,KS-03,NC-09,CA-50,NJ-04,TX-31,IL-16,NV-02,IN-05,MO-02
CA-09,0.06891371416488894,0.26804546256185724,0.1991317483969683,CA-16,IL-08,IL-11,MD-06,WA-01,CA-24,CA-03,CA-26,WA-10,TX-15,FL-22,MO-05,CO-07,CO-02,CT-04,FL-09,CA-52,IL-10,GA-02,AZ-09,IN-07,TX-34,WA-02,DE-00,OR-01
CA-10,0.15226782325888819,0.2780907585663356,0.1258229353074474,MN-02,CO-06,NJ-05,TX-23,VA-10,NV-03,IA-03,CA-49,AZ-02,CA-07,NJ-07,NH-01,MN-03,NV-04,MI-11,FL-07,NE-02,IL-13,IA-01,NJ-03,AZ-01,CA-21,WA-08,NH-02,VA-02
CA-11,0.0605033883348692,0.3425577469566263,0.2820543586217571,CA-51,CA-18,WA-09,CO-01,VA-08,IL-05,CA-06,IL-09,OH-03,WI-02,CA-02,CA-38,NC-01,NC-04,MN-05,NC-12,MD-05,NJ-09,CA-27,TX-18,MD-07,NJ-12,CA-15,TX-35,IL-01
CA-12,0.13417052815354052,0.494777410180578,0.3606068820270375,IL-07,GA-05,NJ-10,CA-13,IL-04,NY-05,OH-11,FL-20,WA-07,CA-37,NY-07,MI-13,TX-30,TX-09,NY-09,NY-08,MI-14,MA-07,NY-13,NY-12,MO-01,IL-02,NY-15,NJ-08,TN-09
CA-13,0.2150819204396316,0.6563632549891867,0.4412813345495551,NJ-10,IL-07,CA-12,GA-05,NY-05,NY-15,NY-07,NY-13,MA-07,NY-08,CA-37,IL-04,OH-11,NY-09,FL-20,MI-13,WA-07,TX-30,TX-09,MI-14,NY-12,IL-02,MO-01,CA-34,NJ-08
CA-14,0.12494074595583304,0.3458297558047891,0.22088900984895604,TN-09,NJ-08,MD-07,TX-18,MO-01,MD-04,MI-14,IL-02,IL-01,MN-05,TX-09,TX-30,CA-28,GA-04,CA-02,CA-06,NY-12,OR-03,FL-20,TX-33,MI-13,WI-04,OH-11,CA-05,CA-51
CA-15,0.13090584402539113,0.35666379126566805,0.22575794724027692,CA-30,CA-19,CA-20,CA-05,TX-33,TX-16,CA-28,OR-03,WI-04,SC-06,CA-06,CO-01,WA-09,CA-51,MS-02,CA-11,IL-05,NC-01,CA-02,CA-18,GA-04,OH-03,CA-33,VA-08,NY-06
CA-16,0.06891371416488894,0.2705847187111645,0.20167100454627557,CA-09,IL-11,IL-08,CA-26,CT-04,MD-06,CO-02,CA-24,MO-05,TX-15,WA-01,CA-03,WA-10,FL-22,CA-52,CO-07,FL-09,IL-10,IN-07,CA-47,CA-41,TX-34,WA-02,GA-02,OR-01
CA-17,0.24562897833928304,0.5258796701717988,0.2802506918325158,CA-35,CA-29,NY-16,AZ-07,NY-10,MA-05,NY-14,OR-03,WI-04,CA-19,TX-29,NY-12,TX-33,CA-20,CA-28,CA-05,CA-15,MN-05,TX-18,CA-43,MD-07,GA-13,MO-01,GA-04,NJ-08
CA-18,0.07906756604322661,0.3621289273173299,0.28306136127410325,CA-11,CA-51,VA-08,WA-09,CO-01,IL-05,CA-06,IL-09,MN-05,CA-02,OH-03,WI-02,TX-18,MD-07,CA-38,NC-04,NC-01,IL-01,NC-12,MD-04,CA-15,CA-20,TX-33,MD-05,NJ-09
CA-19,0.16044485033805225,0.39269326452079617,0.23224841418274392,CA-15,CA-20,WI-04,OR-03,CA-30,CA-43,CA-05,CA-28,TX-33,NY-10,GA-04,TX-18,CA-06,MD-07,CA-51,WA-09,CO-01,MN-05,CA-02,CA-18,CA-11,SC-06,MD-04,IL-01,VA-08
CA-20,0.11586553629099551,0.3551804506163029,0.23931491432530738,TX-33,WI-04,CA-05,CA-28,OR-03,CA-15,SC-06,GA-04,CA-19,CA-06,NC-12,TX-16,WA-09,NC-01,CA-30,CO-01,CA-51,MN-05,TX-18,MD-07,CA-02,VA-03,CA-18,CA-11,NC-04
CA-21,0.19995419475469878,0.3922602197521437,0.19230602499744492,MN-03,VA-10,CO-06,FL-26,CA-10,WA-08,CA-07,AZ-02,CA-39,CA-49,FL-07,IA-03,NJ-07,NJ-02,MN-02,IL-06,NV-04,IL-10,CA-24,TX-23,NJ-03,NJ-11,VA-02,NV-03,CA-45
CA-22,0.10406714178836654,0.26188247364037176,0.15781533185200522,OH-12,NJ-04,IN-05,OH-02,CA-50,OH-15,MI-02,AZ-06,NE-01,MO-02,OH-10,FL-08,OR-02,NV-02,WI-05,VA-01,TX-02,TX-31,NM-02,NC-03,GA-07,CA-42,WI-01,GA-06,FL-19
CA-23,0.14608646626227909,0.3910457517989423,0.2449592855366632,MS-03,SC-04,TX-26,VA-06,GA-11,TX-17,OH-08,IL-18,SC-02,MD-01,OR-02,TX-12,FL-12,SC-01,WI-05,CO-05,CA-08,KY-02,NE-01,TN-02,AZ-05,CA-50,GA-01,IL-16,FL-04
