district,white,black,hispanic,asian,age,income,education,density

AL-01,0.6790298432269559,0.4215679574483889,0.020228617489155387,0.024902041508434943,0.41758241758241765,0.26142666099955425,0.43122538119320886,0.0015216500052978941
SC-05,0.680775189604809,0.40693508684828533,0.032888391854237746,0.0187067651880155,0.43223443223443225,0.2742605973274727,0.40881838622793465,0.0016491611112041107
MS-01,0.702776917488804,0.4137545163377149,0.02190107067676053,0.012569706296295165,0.35531135531135527,0.23885842240029856,0.3894732609634386,0.0009369239704872426
AL-02,0.6490242653679819,0.46845239015461976,0.025498736985908037,0.019465295034910957,0.38461538461538475,0.24431129033930107,0.39661765479367217,0.0008815210871156499
AL-03,0.7110140591889026,0.38511746542835873,0.019446901074007383,0.028324518772147353,0.38095238095238104,0.24203062314047874,0.3921213355765595,0.001222036293694147
GA-10,0.6788555897129446,0.3841166037316299,0.04668061287643867,0.03814765773424306,0.31501831501831495,0.3051325378642588,0.4087861890768323,0.0013386314486485635
VARIANCE,-0.027296805228662402,0.04946372474133576,-0.04527262602157543,0.007296264516562685,0.21978021978022,0.0025398339259613545,0.1603100793276071,0.001579976115339757

AL-02,0.6490242653679819,0.46845239015461976,0.025498736985908037,0.019465295034910957,0.38461538461538475,0.24431129033930107,0.39661765479367217,0.0008815210871156499
AL-01,0.6790298432269559,0.4215679574483889,0.020228617489155387,0.024902041508434943,0.41758241758241765,0.26142666099955425,0.43122538119320886,0.0015216500052978941
GA-08,0.6248195954948995,0.45802374171339955,0.05441367773490407,0.02741616276962949,0.3296703296703298,0.232285954200056,0.3503795979949008,0.0010603768579442996
SC-05,0.680775189604809,0.40693508684828533,0.032888391854237746,0.0187067651880155,0.43223443223443225,0.2742605973274727,0.40881838622793465,0.0016491611112041107
SC-07,0.6636425526855017,0.43963771473793994,0.03179813918741219,0.015935300308536217,0.5238095238095238,0.22485305246571224,0.3883800470930659,0.0017009882910565685
MS-01,0.702776917488804,0.4137545163377149,0.02190107067676053,0.012569706296295165,0.35531135531135527,0.23885842240029856,0.3894732609634386,0.0009369239704872426
VARIANCE,-0.10592277166106079,0.20234293368737022,-0.03373621201292974,-0.0022035008963565313,-0.13553113553113505,-0.010128235696588384,0.014811600495812038,-0.0024614948004118664

AL-03,0.7110140591889026,0.38511746542835873,0.019446901074007383,0.028324518772147353,0.38095238095238104,0.24203062314047874,0.3921213355765595,0.001222036293694147
MS-01,0.702776917488804,0.4137545163377149,0.02190107067676053,0.012569706296295165,0.35531135531135527,0.23885842240029856,0.3894732609634386,0.0009369239704872426
SC-05,0.680775189604809,0.40693508684828533,0.032888391854237746,0.0187067651880155,0.43223443223443225,0.2742605973274727,0.40881838622793465,0.0016491611112041107
GA-10,0.6788555897129446,0.3841166037316299,0.04668061287643867,0.03814765773424306,0.31501831501831495,0.3051325378642588,0.4087861890768323,0.0013386314486485635
AL-01,0.6790298432269559,0.4215679574483889,0.020228617489155387,0.024902041508434943,0.41758241758241765,0.26142666099955425,0.43122538119320886,0.0015216500052978941
MS-04,0.7196870293683247,0.354290199268189,0.03031216489983868,0.0272184390541104,0.33333333333333326,0.24431129033930107,0.4455260573830228,0.0012447177553138423
VARIANCE,0.09394572654267475,-0.055077036492414355,-0.05477635242639409,0.0200779840796377,0.05128205128205182,-0.1138363932284917,-0.12322259696163979,-0.000580902822480918

AL-04,0.8745218099182244,0.10382246743510136,0.0530368555221103,0.010664329887841523,0.47619047619047633,0.214185749976675,0.3007374341408877,0.0010090909158610912
KY-01,0.9125541764945648,0.10440056282053613,0.018826436068311293,0.009338137733987605,0.43956043956043966,0.20889874874304137,0.2794213505529679,0.0007821444973320442
PA-17,0.8593008646593667,0.08255769929944805,0.07557930312385094,0.0330918913797933,0.5384615384615384,0.31113483926479585,0.3365353813514269,0.005363377637929225
OH-04,0.9188343913598289,0.07695568533094843,0.025624706050545388,0.014136751870988236,0.47252747252747257,0.3148150067901683,0.3310958156585039,0.0020213745308968367
TN-06,0.9284169054540121,0.0630348559456968,0.030686734289007346,0.015083472225696807,0.47985347985347976,0.2935737018338638,0.3357087294139022,0.001503760223006549
VA-09,0.9344877273707298,0.08116806564237553,0.01216134015456096,0.023285103957242738,0.5274725274725275,0.220281351398982,0.34820740167952263,0.0010333408294527866
VARIANCE,-0.18098501574738057,0.11099546813650187,0.10230575792427557,-0.04161370772850107,-0.07692307692307626,-0.27777489814747625,-0.12728150795188492,-0.005658543139311986

AL-05,0.7617729293488597,0.26050775078732313,0.03979017033710564,0.02919281364591665,0.42490842490842484,0.3340555446129604,0.5355718548372186,0.0025404845178328044
OH-10,0.7834679203585423,0.25610524373395976,0.016423760897247047,0.0391578462659762,0.42124542124542136,0.2970154359702684,0.576726719044953,0.008500235122619382
IL-12,0.7975190928653751,0.2536402706433383,0.02281000658624536,0.021499661440042582,0.41391941391941395,0.2723116635393882,0.4994944877982771,0.0018569238578175827
SC-04,0.71621977051364,0.2879110651767148,0.07231598927241638,0.04286038438025443,0.3736263736263736,0.30568197132579333,0.5329512795478323,0.00715035743867883
FL-01,0.7674598029207239,0.1992298428759223,0.05196926173674962,0.04526699154108229,0.3882783882783882,0.33444947803821157,0.5871019546935107,0.0024480529715103267
LA-01,0.7578911521134288,0.20051009423975358,0.07779446743473724,0.04151034190754743,0.38095238095238104,0.37725345469247273,0.4865973981448955,0.0026062458438980154
VARIANCE,-0.01369309202741198,0.10514223726692698,-0.04236263424186743,-0.044331157305319675,0.1465201465201461,0.0835657194986677,-0.005012565043375605,-0.009859392645360114

AL-06,0.8018723987433952,0.2223249561002606,0.03941256538450532,0.031140915053481995,0.4065934065934065,0.42607009941635654,0.6161248550541314,0.0022045062107845285
FL-01,0.7674598029207239,0.1992298428759223,0.05196926173674962,0.04526699154108229,0.3882783882783882,0.33444947803821157,0.5871019546935107,0.0024480529715103267
OH-10,0.7834679203585423,0.25610524373395976,0.016423760897247047,0.0391578462659762,0.42124542124542136,0.2970154359702684,0.576726719044953,0.008500235122619382
MI-03,0.8310677917319738,0.12578733472191317,0.06283765056658538,0.03262805484817409,0.33699633699633696,0.3532338824212392,0.5746647555750674,0.003666241027059413
NY-20,0.8040026223535824,0.1299034721236451,0.05138951558763078,0.08903002153420156,0.41391941391941395,0.44064563615064845,0.6434373431623833,0.007844199601496375
NY-25,0.7336506558630009,0.22719581385933374,0.07475010522667007,0.06821739444369533,0.3919413919413919,0.34680654758819446,0.6446120537933515,0.018873639508328904
VARIANCE,0.08971320048915277,0.17340307318652892,-0.06030746709235631,-0.11859573336571949,0.08058608058608008,0.3581995169132206,0.05408144900139111,-0.030309837177091757

AL-07,0.32882287972627205,0.966253279161663,0.01699067647685581,0.012698166348948776,0.2967032967032966,0.14264536661725222,0.3646586775416473,0.000870011170035893
MS-02,0.31880648247330834,0.9992203825963392,0.011202024525216533,0.008742996590514305,0.28937728937728946,0.132724464302375,0.3450692821806768,0.0006038277400253224
LA-02,0.2872581202946188,0.9415940986725546,0.05118660122271987,0.04796939447656865,0.28937728937728946,0.18131304230637654,0.3710892159875191,0.00818788072976694
SC-06,0.36638127315048385,0.8650745579336834,0.038047617522452115,0.018420967559272885,0.282051282051282,0.1597296372702487,0.3379635111465665,0.001087003016715101
MI-13,0.34630801763854996,0.8450497263470602,0.06193056328518161,0.02129985155752539,0.30036630036630035,0.1292723634968848,0.33683578642250767,0.04942373979339704
TN-09,0.2475879107219503,1.0,0.0605589208748303,0.02935947060733673,0.20512820512820504,0.1869939769652613,0.4387477325822444,0.019528409302536083
VARIANCE,0.07777259435244904,0.18032763025867782,-0.13797234504612138,-0.06230184904647408,0.11721611721611666,-0.07680665125488526,-0.006412140611277817,-0.07448080473226101

AK-00,0.6434191778793934,0.046557800914498015,0.05776636135141064,0.1109299826871827,0.21611721611721618,0.5684873993137265,0.6255910163161928,0.0
WA-10,0.7010267803004773,0.09059565297707986,0.1025898874480341,0.11950164872090313,0.29304029304029316,0.4094937955485523,0.6330379343831495,0.011454574605590356
WA-08,0.757728246727839,0.04038895250324624,0.09942432528244079,0.15089825920861105,0.36996336996336987,0.5841307029638307,0.6535025603872844,0.0012770591576640165
TX-12,0.6574782721323672,0.12447502718025592,0.22110457759693541,0.061993124995858455,0.27472527472527486,0.4403242694089962,0.5866299315417532,0.007005515832226058
MA-03,0.7157010330052119,0.04138004998008273,0.17805600060265292,0.14402226075516683,0.41391941391941395,0.543555560162964,0.5658722399935598,0.013273905188585228
TX-25,0.7134884149639178,0.10248505696861711,0.1803191022335841,0.05060019851562454,0.31501831501831495,0.4581342068979816,0.6586880243429123,0.00129020583593232
VARIANCE,-0.3283268577328462,-0.1665357350367918,-0.49266208640659415,0.02763442123974947,-0.5860805860805859,0.40679846158630756,0.030224390932305,-0.03430126061999798

AZ-01,0.5121757098304686,0.031588183516399165,0.2109551641263916,0.027733103427977367,0.33333333333333326,0.3003949700921597,0.5223117707031131,0.00016121637488848337
CA-23,0.4893600723358197,0.09242270837870893,0.37939972244584486,0.09393751206287418,0.21611721611721618,0.3790157884370173,0.4589571122426484,0.0009670608890257652
CA-08,0.4801601766295388,0.11709722875745816,0.3884848767276062,0.0548152477437671,0.22710622710622708,0.28575723334335446,0.4271999479678175,0.0002735524330592956
OK-05,0.6044209777102486,0.2035082101067148,0.15077971229957293,0.05624233633091467,0.2527472527472528,0.28856660066554013,0.5398939106870332,0.005098333264185267
NM-03,0.39058455561065386,0.019620870065618645,0.4030970718447622,0.01996761262147793,0.3772893772893773,0.293895068575516,0.5303533790280478,0.00018803596408414747
CA-50,0.591667230746196,0.03785721368662228,0.3018480125153431,0.10007706473844664,0.33699633699633696,0.47738511138985934,0.5902413788635541,0.003506526401278368
VARIANCE,0.004685536119885869,-0.31256531341312704,-0.5688335752011713,-0.1863742563575937,0.256410256410256,-0.22264495195048867,0.06491312472646438,-0.009227427077190428

AZ-02,0.6435064229892846,0.05727417522854981,0.27141312712486504,0.05198537447611707,0.47252747252747257,0.295647035650975,0.7073451485141534,0.0012099767853564114
FL-07,0.6239026845306868,0.1487369818980924,0.22752292474114147,0.08015485658688369,0.31501831501831495,0.3577537501425417,0.7074444178069916,0.02506339908235164
TX-21,0.6506256299906237,0.04871766293392902,0.28073931721119333,0.06145634945952863,0.3626373626373627,0.4600002073333817,0.7886514441767986,0.0017003113512541349
AZ-08,0.7253806443113537,0.06375926633400844,0.18653819298620955,0.06398712674777687,0.49816849816849806,0.4222966318692141,0.6589694807500338,0.01861104723598034
CO-01,0.5969355382868445,0.12413470825635503,0.27510074819332686,0.061402799791233156,0.26007326007326,0.40327379409721864,0.7137713515057799,0.055317449006835225
TX-25,0.7134884149639178,0.10248505696861711,0.1803191022335841,0.05060019851562454,0.31501831501831495,0.4581342068979816,0.6586880243429123,0.00129020583593232
VARIANCE,-0.0928007971370034,-0.20146280024825297,0.20684535025886988,-0.05767445872046154,0.6117216117216122,-0.6232234120854627,0.009201023988250956,-0.0959325285855716

AZ-03,0.2813736936972234,0.06464907377554772,0.6221024555126954,0.029876763398978014,0.1282051282051282,0.23394462125374496,0.32521146610354706,0.0006119392867056625
TX-35,0.2614074304958947,0.13558901721619596,0.6254153270329015,0.026101690742320584,0.12087912087912091,0.2457418906731078,0.32353519497068733,0.01745171566921174
TX-23,0.2528232387159469,0.04675016318624101,0.698038789851796,0.02438081602044724,0.19413919413919417,0.32629090946787886,0.3482677046650192,0.0001531719138209309
CA-41,0.24704336730993995,0.13649281909755287,0.5879489406778191,0.0991782034791933,0.10622710622710631,0.38582669002622766,0.32758676720893903,0.031151109574191142
NM-02,0.3886559949439922,0.023823769948538843,0.5381420361185055,0.011885470617783717,0.30036630036630035,0.2280045198677213,0.3974380005810001,0.00011270772212819585
TX-20,0.21927467036254172,0.07479921453082707,0.6932748624084519,0.05728509306025124,0.16117216117216124,0.3005090034521008,0.4482632895598745,0.050919135751803915
VARIANCE,0.037663766657801606,-0.09420961510161713,-0.03230767852599714,-0.06944745692510601,-0.241758241758242,-0.31664990721831165,-0.21903362646778485,-0.09672814419762762

AZ-04,0.7814859341844068,0.02509007177930599,0.1776991924715996,0.0201580513132307,0.706959706959707,0.272923297015436,0.4805310043892221,0.0002796786128889429
FL-12,0.8273251966309667,0.0646593642099843,0.10857450240820557,0.04428114087612317,0.6813186813186812,0.29976260327794074,0.5249885041562395,0.011319864800165022
FL-06,0.7761380083454872,0.1519169336800992,0.10771727095482908,0.031001900166543764,0.7179487179487178,0.25315405906928046,0.4741915014135231,0.004460900992863306
MA-01,0.765190232053774,0.08531850776080876,0.1624579546359955,0.03443214458682343,0.48351648351648346,0.353099115723127,0.49748821261015524,0.00413240947224689
FL-19,0.7364925024748569,0.1137368113179029,0.1831605691302324,0.025866296714202167,0.805860805860806,0.34830971460560006,0.5434084666836094,0.013452600406708367
OR-02,0.8394378830982556,0.007447181792431424,0.12479692721049858,0.016431375061337867,0.5201465201465201,0.27759866477302175,0.5440453874603933,0.00013433638899882651
VARIANCE,-0.03715415168130631,-0.29762843986469667,0.20178873801823688,-0.05122260083887689,0.3260073260073264,-0.16730767237179006,-0.18146705037781025,-0.032101718996537694

AZ-05,0.7454716623939691,0.04186741391912588,0.17056801039746183,0.0840957933742144,0.36996336996336987,0.5047116510993852,0.7342306591591607,0.03478809232168854
OR-01,0.752150228693605,0.022038832892280424,0.13544392449869203,0.13642337339253913,0.35531135531135527,0.4820501124783596,0.7372958299211189,0.0035663074783101054
AZ-06,0.7570333535825817,0.03699445036371925,0.1565610832151551,0.08715271451066375,0.5164835164835164,0.4625296745902574,0.7867129771109573,0.016047497632261175
KS-03,0.7558348811486599,0.12805305742040285,0.10875704427682475,0.08001888060128928,0.31501831501831495,0.5073655183852877,0.7792380563993518,0.013133182110573176
OR-03,0.7479362705463928,0.0752329366875684,0.10176999798050843,0.12508158043708167,0.33699633699633696,0.3943791920218115,0.735575487196113,0.010057385067450594
CO-05,0.7512010658692337,0.08126109782767203,0.146917788504522,0.0446926536820521,0.282051282051282,0.40437266102028757,0.7420919422299391,0.0013818798692460694
VARIANCE,-0.03679748787062764,-0.13424330559601355,0.20339021351160685,-0.05289023575255395,0.043956043956043744,0.2728610970009223,-0.10976099706167641,0.12975420945060157

AZ-06,0.7570333535825817,0.03699445036371925,0.1565610832151551,0.08715271451066375,0.5164835164835164,0.4625296745902574,0.7867129771109573,0.016047497632261175
CA-02,0.744470598655621,0.020118975238563458,0.1663523918952499,0.06810396594232711,0.5824175824175825,0.47222251018525235,0.7509195625322144,0.0007180219752363168
CA-04,0.7991033681105242,0.017590040195286233,0.12148867575723299,0.08897026025050561,0.6007326007326008,0.5125799529353223,0.7366825432018484,0.0007299557487923253
AZ-05,0.7454716623939691,0.04186741391912588,0.17056801039746183,0.0840957933742144,0.36996336996336987,0.5047116510993852,0.7342306591591607,0.03478809232168854
OR-01,0.752150228693605,0.022038832892280424,0.13544392449869203,0.13642337339253913,0.35531135531135527,0.4820501124783596,0.7372958299211189,0.0035663074783101054
KS-03,0.7558348811486599,0.12805305742040285,0.10875704427682475,0.08001888060128928,0.31501831501831495,0.5073655183852877,0.7792380563993518,0.013133182110573176
VARIANCE,-0.011863971089470682,-0.04469606784706261,0.08019536925031404,-0.02184870100755676,0.35897435897435875,-0.16628137213232014,0.1951982343410924,0.027301928526705415

AZ-07,0.20860777633865007,0.1401602461387022,0.6436320734875466,0.04102309051373707,0.054945054945054944,0.17095673988990598,0.19083192428141083,0.049915667378013555
TX-35,0.2614074304958947,0.13558901721619596,0.6254153270329015,0.026101690742320584,0.12087912087912091,0.2457418906731078,0.32353519497068733,0.01745171566921174
TX-28,0.16773319613383453,0.058100313133784665,0.7801899002861479,0.014399456302496736,0.1282051282051282,0.2658739620372578,0.25669293448256697,0.0010292497758844132
CA-21,0.17510951884814688,0.057869167782147485,0.7431589933725288,0.05593091626046589,0.04395604395604393,0.1954739122772462,0.057201195646564215,0.0013935533564956336
CA-16,0.23279872167921478,0.08482511772638798,0.6007116333755961,0.17254623965357443,0.08058608058608056,0.19463421208131615,0.21530225317872417,0.0033718083387414754
CA-35,0.1444204653934758,0.0975268525858302,0.704583968045452,0.12216192697891994,0.1355311355311355,0.3762478877911738,0.24910172589695972,0.057688443592136
VARIANCE,0.06156954914268367,0.26689076224916475,-0.23589945467489326,-0.18602477736909223,-0.23443223443223435,-0.4231881654105719,-0.1476736827684483,0.1686435661575985

AZ-08,0.7253806443113537,0.06375926633400844,0.18653819298620955,0.06398712674777687,0.49816849816849806,0.4222966318692141,0.6589694807500338,0.01861104723598034
TX-25,0.7134884149639178,0.10248505696861711,0.1803191022335841,0.05060019851562454,0.31501831501831495,0.4581342068979816,0.6586880243429123,0.00129020583593232
OR-05,0.7901656507893822,0.01288254555616479,0.15472686281210615,0.048894863251770136,0.42124542124542136,0.38227092252988193,0.629413654315486,0.0020293293666857454
CO-04,0.7564434518088324,0.018569727303477463,0.21177165513117746,0.03193664575458635,0.33699633699633696,0.49974601660740386,0.6546282271775058,0.000250403661050507
AZ-05,0.7454716623939691,0.04186741391912588,0.17056801039746183,0.0840957933742144,0.36996336996336987,0.5047116510993852,0.7342306591591607,0.03478809232168854
CA-02,0.744470598655621,0.020118975238563458,0.1663523918952499,0.06810396594232711,0.5824175824175825,0.47222251018525235,0.7509195625322144,0.0007180219752363168
VARIANCE,-0.12313655705495385,0.12287261268409351,0.04895294246146831,0.03630416690036183,0.46520146520146466,-0.20560214797383436,-0.13303272377711017,0.053979183019308284

AZ-09,0.5895711288033432,0.07766313515007246,0.2706446986856572,0.08899833246083491,0.20146520146520158,0.33835771228346617,0.7051123337313441,0.06110885627838774
CO-01,0.5969355382868445,0.12413470825635503,0.27510074819332686,0.061402799791233156,0.26007326007326,0.40327379409721864,0.7137713515057799,0.055317449006835225
FL-07,0.6239026845306868,0.1487369818980924,0.22752292474114147,0.08015485658688369,0.31501831501831495,0.3577537501425417,0.7074444178069916,0.02506339908235164
TX-31,0.5975644651103547,0.16509985105889488,0.2306256767875908,0.0855918769148612,0.23443223443223452,0.4771777780081482,0.6949755345292917,0.004829476294821784
CA-24,0.5731064033803973,0.025836642221936646,0.35303966560435873,0.08404413155054734,0.29304029304029316,0.4672257756860143,0.6453438376260939,0.0013940439942505373
TX-10,0.5692511163919628,0.15688742766578043,0.269163077192834,0.09753488584417686,0.28571428571428575,0.5165089205187481,0.6426307669498077,0.002044174108121059
VARIANCE,-0.012904563683530212,-0.23237993535069706,-0.0022285990909657882,0.03626311161647232,-0.3809523809523805,-0.5301514570353401,0.12139576023875553,0.21689573890555847

AR-01,0.7946074407144397,0.272985757514418,0.022515509420547777,0.008060654084386477,0.43223443223443225,0.19368047852544498,0.2725435783132692,0.00048358894332842147
AR-04,0.7483336675536698,0.29766281017296653,0.047115787288550634,0.010632636752329783,0.47619047619047633,0.1881757772410147,0.2856608787247774,0.0004105053881621818
SC-03,0.7736983824613026,0.2797979573041128,0.03574466301989666,0.015118071984128224,0.45787545787545797,0.23746928874283404,0.3801257829822436,0.0016863358734207667
GA-14,0.8070642686734226,0.13073175619004004,0.10273710513142553,0.017307918104805704,0.3626373626373627,0.27618879777738614,0.29189777686676377,0.0025619557909408283
OH-13,0.8463742263918372,0.17220919777850124,0.021696531988152273,0.028758687627893204,0.47619047619047633,0.23601795507085618,0.366845681074346,0.010606496352871513
LA-03,0.7082492902677979,0.370860462812952,0.02721956716728997,0.026748369075643822,0.29304029304029316,0.28415039963509325,0.30336131065143057,0.0014656674688964372
VARIANCE,0.08931736822416814,0.11366660331351744,-0.12193610749257618,-0.05826241312286835,0.09523809523809479,-0.25359982583995944,-0.26517353873321536,-0.01431301615764962

AR-02,0.7170637795019106,0.3359500059734027,0.04079391346694659,0.02807471593101043,0.32600732600732607,0.29541896893109276,0.5127362906130346,0.002006242932486454
NC-03,0.7041911716691623,0.3084039213395186,0.06631612476571884,0.025271988757081535,0.3296703296703298,0.2831137327265376,0.5220194845241795,0.0013687440907550622
SC-04,0.71621977051364,0.2879110651767148,0.07231598927241638,0.04286038438025443,0.3736263736263736,0.30568197132579333,0.5329512795478323,0.00715035743867883
MO-05,0.669109480115732,0.33226357679914814,0.07859956518337756,0.03031977831324665,0.33333333333333326,0.2724360635684148,0.49868213924366217,0.00415179548815527
OH-01,0.7235135820432294,0.332268782636114,0.019219385612418736,0.05885574360087298,0.34065934065934067,0.35025864839368465,0.5579026877489832,0.014170943405484889
NC-13,0.6781972675328489,0.32867131824336443,0.06709656829569423,0.062484531321405974,0.42490842490842484,0.2818282657599287,0.5176168661244952,0.005488468496748443
VARIANCE,0.09408762563494022,0.09023136567215351,-0.09957806579489281,-0.07941884671780942,-0.17216117216117177,-0.0162238371188953,-0.06549100412397929,-0.022299094257390226

AR-03,0.7929884642188927,0.041737118530225076,0.12987534854600766,0.05182041264088859,0.27472527472527486,0.27705959798057284,0.4342792995746864,0.001891932120567843
OK-03,0.7771952037859479,0.05339456779861178,0.08580972854126279,0.02585718457119592,0.32234432234432236,0.3065631381980656,0.41092082155652704,0.00028489494226384833
KS-01,0.806065702183869,0.0430642576316033,0.14658767701024059,0.029370460271285197,0.2673992673992674,0.2964763691778195,0.5157205496078507,0.00016471835998012975
MI-02,0.8282457933263762,0.09180759467833288,0.08396142635873059,0.04085421480239126,0.3296703296703298,0.3245804090687621,0.4977650039059723,0.0029274581672408917
OK-04,0.7447124459608063,0.09881439813256705,0.07391744471508611,0.04140158590839006,0.27106227106227115,0.33933217917750846,0.4896212987030486,0.0010444998966477159
IN-03,0.8745864484910326,0.08915317367150838,0.04965047652729872,0.03614835734785187,0.33699633699633696,0.3179561075230918,0.4178494783184468,0.002325042623298705
VARIANCE,-0.0658632726535685,-0.167548399261498,0.2094499895774195,0.08547026030332863,-0.15384615384615336,-0.19961021324238326,-0.1604806542184134,0.0027130466134079245

AR-04,0.7483336675536698,0.29766281017296653,0.047115787288550634,0.010632636752329783,0.47619047619047633,0.1881757772410147,0.2856608787247774,0.0004105053881621818
AR-01,0.7946074407144397,0.272985757514418,0.022515509420547777,0.008060654084386477,0.43223443223443225,0.19368047852544498,0.2725435783132692,0.00048358894332842147
SC-03,0.7736983824613026,0.2797979573041128,0.03574466301989666,0.015118071984128224,0.45787545787545797,0.23746928874283404,0.3801257829822436,0.0016863358734207667
