district,min_similarity,max_similarity,similarity_range,most_similar ⬅
AZ-08,0.11703812413055847,0.36868944926591,0.25165132513535154,TX-05,TX-03,FL-04,OK-01,GA-10,AL-01,GA-08,GA-03,FL-25,CA-23,MS-03,TX-26,TX-17,SC-04,SC-05,GA-11,OH-08,VA-06,CA-08,SC-01,SC-02,IL-18
AZ-09,0.09766104648220801,0.17723570464215166,0.07957465815994365,CA-03,CA-36,FL-22,CA-26,CT-04,IL-08,WA-01,WA-10,CO-07,CA-52,CA-09,IL-11,CO-02,TX-15,FL-09,WA-06,MD-06,MO-05,NM-01,CA-16,GA-02,OR-05
CA-01,0.05512331630081775,0.11581731304084031,0.06069399674002256,NC-05,MT-00,TX-14,KY-06,NC-06,FL-06,WA-05,TX-06,TX-25,CA-04,NC-08,SC-07,IN-02,OK-05,NC-07,NC-10,TX-27,CA-42,WI-07,IA-04,WI-06,VA-01
CA-02,0.06112421778640604,0.21500596503353114,0.1538817472471251,CA-06,WA-09,CA-51,CA-11,TX-18,MD-07,MN-05,IL-01,CA-18,CO-01,CA-14,NC-01,TN-09,NJ-08,HI-02,MD-04,IL-05,CA-05,NC-04,VA-08,WI-02,CA-28
CA-03,0.06536000305997546,0.15382779332747382,0.08846779026749836,WA-10,CO-07,CA-09,MD-06,CA-36,WA-01,FL-22,AZ-09,CA-26,FL-09,MO-05,IL-08,CA-16,TX-15,CA-52,CT-04,IL-11,CA-24,CO-02,CT-05,IL-17,GA-02
CA-04,0.0824352473156962,0.12117910298397164,0.03874385566827544,TX-25,TX-06,WA-05,OK-05,NC-06,AZ-06,KS-02,CA-01,SC-07,VA-01,TX-14,KY-06,NC-05,MO-02,NC-10,TX-31,MI-02,TX-10,CA-42,NM-02,WI-06,IN-05
CA-05,0.063279420035269,0.2355091081041242,0.1722296880688552,CA-28,TX-33,OR-03,CA-20,GA-04,CA-15,WI-04,SC-06,CA-06,CA-19,CA-02,MD-07,HI-02,TX-16,TX-18,NJ-08,CA-30,WA-09,CA-14,TX-09,MD-04,TX-30
CA-06,0.06112421778640604,0.19963058382923196,0.13850636604282593,CA-02,WA-09,CA-51,CA-11,CO-01,CA-18,NC-01,MD-07,TX-18,MN-05,IL-01,NC-04,IL-05,NJ-09,CA-05,WI-02,MD-04,NC-12,VA-08,TX-33,CA-28,HI-02
CA-07,0.11774897027150594,0.1912001961296065,0.07345122585810057,CA-24,TX-23,NV-04,WA-01,NH-02,CA-10,CO-06,CA-52,AZ-01,CT-05,OR-05,NE-02,CA-03,CA-09,AZ-02,FL-26,CO-07,MD-06,IA-02,NJ-05,NH-01,VA-10
CA-08,0.14771770797707362,0.2692923968477387,0.12157468887066508,TX-17,TX-21,VA-06,SC-01,CO-05,SC-02,GA-01,MS-03,TX-32,SC-04,FL-15,CA-23,AZ-06,FL-12,FL-03,CA-50,MI-02,KS-03,TX-22,TX-31,NJ-04,TX-02
